  c_sec  , code_cultu_c , code_cultu_s ,       s1_c       ,       s1_s       ,     s2_c      ,      s2_s      ,    tot_sai_c     ,    tot_sai_s     ,       pc_sau_c       ,       pc_sau_s       
 351-03  , C81          , C3           ,            31.56 ,             0.14 ,          0.96 ,0,            32.52 ,             0.14 ,      1.3870938847586 ,  0.00597149888887467
 351-02  , C81          , C3           ,            21.94 ,             0.01 ,          3.61 ,           0.09 ,            25.55 ,              0.1 ,     1.00986944818836 ,  0.00395252230210709
 351-01  , C81          , C3           ,             7.78 ,0,          0.55 ,0,             8.33 ,0,     0.54797223958162 ,0
 345-01  , C81          , C3           ,            96.58 ,            218.7 ,0,            0.5 ,            96.58 ,            219.2 ,     3.52573112010776 ,      8.0020735300023
 344-02  , C81          , C3           ,          1376.44 ,           143.81 ,          1.25 ,           0.67 ,          1377.69 ,           144.48 ,     34.8899756120415 ,     3.65895352105899
 344-01  , C81          , C3           ,          1415.18 ,            94.52 ,0,2,          1415.18 ,            96.52 ,     34.5274488802574 ,     2.35488726940916
 343-03  , C81          , C3           ,             5.19 ,            62.03 ,0,           0.38 ,             5.19 ,            62.41 ,    0.347224545229509 ,     4.17539188203732
 343-02  , C81          , C3           ,              0.4 ,            37.26 ,0,0,              0.4 ,            37.26 ,   0.0341506727682535 ,     3.18113516836282
 343-01  , C81          , C3           ,            13.92 ,             94.3 ,          0.27 ,           2.84 ,            14.19 ,            97.14 ,    0.897011226863558 ,     6.14063922322241
 342-05  , C81          , C3           ,             0.15 ,             0.13 ,0,           1.95 ,             0.15 ,             2.08 ,   0.0125057317937388 ,    0.173412814206511
 342-04  , C81          , C3           ,            10.99 ,0,          0.15 ,           0.06 ,            11.14 ,             0.06 ,    0.810753768112778 ,  0.00436671688391083
 342-03  , C81          , C3           ,0,             0.71 ,0,           0.75 ,0,             1.46 ,0,    0.115598698326986
 342-02  , C81          , C3           ,             0.01 ,             0.03 ,0,0,             0.01 ,             0.03 ,  0.00103632312555055 ,  0.00310896937665164
 342-01  , C81          , C3           ,            17.62 ,             0.55 ,           4.2 ,           0.21 ,            21.82 ,             0.76 ,     2.25222435540142 ,   0.0784459445511034
 341-04  , C81          , C3           ,           390.86 ,           227.18 ,          4.58 ,           1.87 ,           395.44 ,           229.05 ,     9.90804540101726 ,     5.73901931798251
 341-03  , C81          , C3           ,            39.65 ,           120.03 ,           0.5 ,           1.13 ,            40.15 ,           121.16 ,     5.08536832505826 ,     15.3460330327288
 341-02  , C81          , C3           ,             0.12 ,            15.41 ,0,           0.24 ,             0.12 ,            15.65 ,   0.0177870006670125 ,     2.31972133698955
 341-01  , C81          , C3           ,             0.75 ,             0.25 ,0,0,             0.75 ,             0.25 ,    0.122838050314465 ,   0.0409460167714885
 332-03  , C81          , C3           ,             4.36 ,              4.7 ,0,           0.25 ,             4.36 ,             4.95 ,    0.330964960223477 ,    0.375751503006012
 332-02  , C81          , C3           ,3,            12.41 ,0,           7.71 ,3,            20.12 ,    0.137000063933363 ,    0.918813762113089
